gene_name	Control_Rep.A	Control_Rep.B	Control_Rep.C	Treat1_Rep.A	Treat1_Rep.B	Treat1_Rep.C	Treat2_Rep.A	Treat2_Rep.B	Treat2_Rep.C	Treat3_Rep.A	Treat3_Rep.B	Treat3_Rep.C	Control_Mean	Treat1_Mean	Treat2_Mean	Treat3_Mean	fc_treat1	fc_treat2	fc_treat3
C7_00880C_A	1039.999998	556.0000001	711.0000002	266.0000001	397	369	727.9999999	670.9999999	647	348.9999999	325.9999999	549.9999998	769	344.0000001	682	408.3333333	-1.160575033	-0.173211859	-0.913236255
C7_00890C_A	1923.000004	2470.000006	2160.000004	3050.000006	2151.999996	2324.999999	1850.000006	1896.999996	2430.000003	3331.000003	2973.000004	2818.000007	2184.33334	2509.000008	2058.999993	3040.666658	0.19991944	-0.08524921	0.47719463
C7_00900W_A	3.000000001	3.000000001	2	2	7	4	15	12	17	6.000000001	3.000000001	5	2.666666666	4.333333332	14.66666667	4.666666666	0.700439718	2.459431619	0.807354922
C7_00910C_A	1163.999998	1056	1194.999998	1235.000003	982.9999998	917.0000003	1201.999999	1087.000004	1034.999998	1193.999999	1566.999995	1380.999996	1138.333331	1045.000002	1108.000003	1380.666669	-0.12342013	-0.03896519	0.27844198
C7_00920C_A	642.9999999	515.9999998	606.9999999	790.9999997	866.9999999	1095.999998	1507.999997	1332.000003	1566.999995	869.0000001	1380.999996	1343.000001	588.6666667	917.9999997	1468.999999	1197.666667	0.641043216	1.319311553	1.024703593
C7_00930W_A	20063.99996	6658.999978	11027.99998	4076.000011	8003.999989	7493.999988	3708.999994	3794.999999	4600.000013	23327.99993	23161.99996	26193.00006	12583.66667	6524.666651	4034.666662	24227.66672	-0.94757626	-1.64103097	0.94510311
C7_00940W_A	2418.000001	2229.999993	2623.999992	2488	2245.000001	2292.000002	2680.999993	2763.000006	2845.000006	3362.999992	3077.000004	3775.000002	2423.999994	2341.666668	2763.000006	3404.999993	-0.04985397	0.18884587	0.4902651
C7_00950W_A	816	1866.999997	1846.000003	1560.999998	738	727	956.9999997	954	1231.000003	257	352.9999999	283	1509.666663	1008.666667	1047.33333	297.6666668	-0.581780548	-0.52750936	-2.342460455
C7_00960W_A	37678.0001	45120.99995	45456.99987	28844.99994	16164.00004	15952.99999	2180.000001	2297.999996	10674.00003	7572.000023	5796.999999	10742.99997	42751.99993	20320.66662	5050.66665	8037.333328	-1.07304418	-3.08144618	-2.41120309
C7_00970C_A	187	594.9999999	365.0000001	577.0000001	477	474	71.99999998	66.99999998	152	281.9999999	162	220.0000001	382.3333333	509.3333332	96.99999999	221.3333332	0.413779152	-1.978774333	-0.788610245
C7_00980W_A	993.0000003	1173.000002	1279.999996	1245.000003	1158.999999	1229	1091.999999	1114.000002	1223.999998	1442.000001	1342.000004	1368.999999	1148.66667	1211	1143.333333	1384.333337	0.07623866	-0.00671413	0.26923117
C7_00990W_A	47661.99997	53618.9999	50321.99995	35288.00012	24237.00007	15563.00003	3158.000009	3306.000002	7616.999998	9434.999984	6573.999995	8356.999997	50534.33346	25029.33326	4693.666656	8121.999989	-1.01364404	-3.42847661	-2.63735697
C7_01000C_A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
C7_01010W_A	11	16	11	71.00000002	118	82.99999998	259.0000001	254	163	20	21	21	12.66666667	90.6666667	225.3333332	20.66666667	2.839535328	4.152951922	0.706268797
C7_01020C_A	449.0000001	1158.000002	1189	1512.999998	1009	1211.999997	1235.000003	1261.999996	2236.999998	990.9999999	873.0000002	1399.999998	932.0000002	1244.666665	1578	1087.999999	0.417357565	0.759695345	0.223276695
