SC5314	wt_no_dox_no_HS_Mean	wt_dox_no_HS_Mean	wt_dox_10_HS_Mean	wt_dox_30_HS_Mean	wt_dox_60_HS_Mean	tet90_no_dox_no_HS_Mean	tet90_dox_no_HS_Mean	tet90_dox_10_HS_Mean	tet90_dox_30_HS_Mean	tet90_dox_60_HS_Mean
CR_04130C_A	10.51832531	10.32605491	10.4069136	10.9703456	10.50878516	10.49984589	10.26013546	10.73668379	9.669475647	10.86495992
C1_13430C_A	3.938599455	5.26052755	4.857980995	8.257387843	9.301496195	4.790076931	8.577428828	6.54946382	8.447083226	9.805206456
C1_13440C_A	1.222392421	0.415037499	1.222392421	4.222392422	3	1.584962501	1.874469118	2	1	4
C1_13450W_A	7.721099189	8.458064783	8.342815462	9.630570499	7.342815461	7.058893689	7.807354922	8.363404731	7.4150375	7.818049523
C1_13460W_A	0	0	2.115477217	2.736965594	0.736965594	0	1.415037499	0.415037499	1.222392421	1.584962501
C1_13470W_A	4.857980995	6.403722186	9.644457187	9.843921051	9.121533517	5.357552005	7.473029222	9.770388596	8.341333494	9.776981273
CR_04140W_A	12.60208021	11.83275818	11.90601369	11.57868718	10.56065127	12.37313704	11.70922744	11.7077905	10.92407019	10.15481811
C1_13480W_A	11.67522198	12.31967212	18.81218148	17.82003765	18.95201696	13.73562654	15.80657479	18.29896946	18.25415515	18.87926913
C1_13490C_A	8.680652546	8.752659401	7.916874684	9.14635653	7.684164179	8.158188894	8.129283017	8.612254192	6.745954377	8.499845887
C1_13510C_A	8.707359132	9.919856487	9.468284625	9.663558104	9.936147143	8.915879379	9.098909368	9.303019632	10.00422047	10.20212382
C1_13520C_A	9.279997414	9.094517599	8.906890596	9.813781191	9.268347055	9.145507636	9.468963381	9.770388596	9.05075562	9.343555875
C1_13530W_A	8.891783703	9.693486957	8.645057935	9.321176496	8.926790153	9.158188893	9.431149337	9.360481336	9.034340455	9.33315535
C1_13540W_A	8.93761903	9.061596209	8.45532722	9.312126628	8.911891277	8.86727874	9.283088353	8.972501201	8.69464808	8.908892949
C1_13550C_A	10.4941889	10.19803571	10.78735845	11.27864304	10.98868469	10.61010206	10.2904029	11.07369529	10.28540222	11.35388196
C1_13560W_A	8.69580827	8.445704636	9.513727596	9.864186145	9.593079828	8.490516649	8.286942737	9.431845787	8.631783358	9.892289823
CR_04150W_A	7.64385619	6.874469118	6.156504486	8.288481612	6.841302254	7.055282436	7.403722186	7.745954378	5.709658248	7.622051819
C1_13570W_A	9.200489967	8.995296067	8.977279923	8.978233771	9.035257325	8.87036472	9.041659152	8.815916936	8.080373417	9.324180547
C1_13580W_A	11.28963469	11.66296501	11.99917792	12.90174685	13.19644844	11.24138736	11.65209804	12.84894889	11.89216331	13.40934674
C1_13590W_A	4.029747343	4.624490865	4.938599455	6.448460501	5.48112669	4.115477217	4.700439718	5.196397213	5.087462841	6.142957954
C1_13600W_A	3.906890596	4.437405313	4.2730184939999996	5.26052755	4.906890596	3.544320517	4.857980995	4.662965013	4.772589504	5.403722186
C1_13610C_A	9.964340868	10.6110248	10.10241318	10.27534855	10.43462823	10.23840474	10.75516577	9.818582177	10.71710517	10.27262978
C1_13620W_A	12.62532834	13.38635651	14.61060195	13.89130905	13.59346894	13.02698444	13.30501671	14.02865433	13.88722062	13.3064415
C1_04960C_A	9.606713646	10.58777752	10.21026547	10.76293564	10.05754053	9.460797161	9.72848744	10.57679924	9.812712132	10.62844554
CR_04160C_A	10.96096727	9.89532282	9.819114635	10.38514339	9.188176706	10.86676377	9.737529037	10.21755386	8.367778746	9.682994584
C1_13630W_A	9.047123912	9.446394096	6.709658249	9.106781018	8.477083637	8.30833903	11.05731488	7.336878437	10.47775827	9.508455064
C1_13640W_A	10.68153126	10.21472386	11.20681088	10.92975155	10.56224242	10.58464938	10.10241318	10.63511347	10.19393597	11.03640259
C1_13650C_A	9.052568051	9.567322342	9.664743556	10.59587907	10.79387421	9.483815777	9.671246188	10.6423526	10.17409344	10.92629599
C1_13660W_A	9.448460501	9.692906046	10.08170534	10.41609377	10.65284497	9.626925794	8.933690655	9.896836931	9.705632387	10.93859946
C1_13670W_A	9.854868383	10.89986039	8.696967526	10.93024453	11.04621456	10.57837269	12.69899399	9.907391444	11.83368075	10.94690627
C1_13680C_A	12.85720347	12.97441459	11.68197041	10.88136892	11.03502816	12.66333572	12.69595323	11.25167965	12.42539076	10.29423782
C1_13690C_A	10.37503943	10.57648435	10.21634169	10.90839262	10.61040971	10.35057091	10.68445643	10.83894127	10.40939094	10.58808996
C1_13700W_A	15.15889891	15.30634655	15.02866871	15.10201669	15.07666253	15.0038546	15.28675026	15.2751424	15.10675376	15.0549858
C1_13710C_A	7.406559346	7.520946008	7.018663845	6.866248612	7.745954378	7.163230349	6.926790153	7.209453366	6.984893108	8.285402219
C1_13720W_A	10.99317428	10.0561861	10.84444424	10.64475759	9.894817763	10.97441459	9.957585762	10.78953364	9.562878393	9.696967526
CR_04170W_A	12.46250227	11.77107674	11.00070427	11.21472386	9.818582177	12.43965776	10.81164228	10.83236262	9.431149337	10.68182404
C1_13730C_A	9.826018766	8.076815597	8.808427957	8.878561873	7.994353437	9.855387618	7.886712714	8.569855608	6.68182404	8.763765654
C1_13740W_A	8.388017285	7.932706887	7.698125853	9.315149562	8.998120267	8.727920455	9.061596209	8.441560942	7.6794801	9.807354922
C1_13750C_A	7.739218046	6.247927513	6.950312876	8.598672881	7.47843258	7.288481611	5.736965594	8.14974712	5.564784619	7.741466986
C1_13760W_A	10.56383182	10.47302922	10.50514992	11.68533283	11.22078137	10.68650053	10.46930264	11.52405192	10.42136358	11.40673648
C1_13770C_A	8.115477217	8.288481612	8.395177077	8.834997677	9.743151394	8.332409579	8.513069582	9.023292321	8.909893084	9.4709977339999991
