gene_name	wt_dox_no_HS_Rep.A	wt_dox_no_HS_Rep.B	wt_dox_no_HS_Rep.C	wt_dox_10_HS_Rep.A	wt_dox_10_HS_Rep.B	wt_dox_10_HS_Rep.C	wt_dox_30_HS_Rep.A	wt_dox_30_HS_Rep.B	wt_dox_30_HS_Rep.C	wt_dox_60_HS_Rep.A	wt_dox_60_HS_Rep.B	wt_dox_60_HS_Rep.C	wt_dox_no_HS_Mean	wt_dox_10_HS_Mean	wt_dox_30_HS_Mean	wt_dox_60_HS_Mean
C1_14170W_A	2559.999991327587	2273.0000018625083	2576.9999966782734	3708.9999935650535	3135.000005020967	2836.000005426463	5477.99999732164	5600.999988557422	6336.999999148517	4974.999998902119	4154.999995225759	5690.999983698006	2470.0000060401267	3226.6666634442386	5805.333327429997	4940.333329801558
C1_14180W_A	284.00000009750534	82.00000002170736	148.00000003806448	65.99999998360155	74.99999997422111	65.99999998360155	185.00000006202433	215.0000000611813	274.9999999214621	148.00000003806448	178.00000000414587	166.9999999451258	171.3333332771932	69.00000001060953	224.99999996615136	164.33333325852422
C1_14190C_A	1050.9999971135617	218.00000003370778	449.0000000805612	165.99999996008202	94.00000002100381	78.0000000074476	103.99999998982906	109.00000001685389	122.9999999710774	125.00000002927791	113.99999998698233	207.99999997965813	572.6666668979619	112.66666670094797	111.99999999552806	148.99999995226847
C1_14200W_A	1714.9999987397207	1240.9999998878682	1631.9999977698126	982.9999997679405	961.0000001507087	990.9999998719	1310.9999997984883	1466.0000018963342	1511.9999955761537	1403.9999997036073	1235.0000030200633	1520.0000017584855	1529.3333277207037	978.3333331459949	1429.6666667514928	1386.3333343661443
C1_14210C_A	6077.000014553093	3370.00000918193	5488.000014558592	2250.000006075504	3591.000005812879	2881.000009665531	3702.000000332113	4067.000012792381	3824.9999934582765	8284.999987889658	6398.00001279128	8585.00000660824	4978.333345490221	2907.333324546112	3864.666667863129	7756.000010177977
C1_14220C_A	1098.9999992769053	2017.0000019391885	2158.0000007658296	331.9999999201638	262.99999994671407	266.00000009196935	154.99999997053652	158.9999999686611	134.99999999524354	61.00000001848204	70.00000000267023	89.99999997943381	1758.000005918018	287.0000000645166	149.6666666645928	73.66666668350302
C1_14230C_A	982.9999997679405	1171.9999964075046	1256.999996148473	1988.9999988505426	2347.0000056561644	1993.9999939210977	3237.9999993209176	3300.0000019827576	2530.9999962971087	2603.000006487925	2449.0000024376723	2755.9999948339546	1137.333332862589	2109.999994742829	3022.9999923985597	2602.6666723642848
C1_14240W_A	3739.999987621436	3836.000013246355	4222.9999947273	5349.000006131886	5645.999986499597	4854.999998968374	5078.000001240713	5298.999992494854	4722.000012343806	4742.999989875757	4073.0000028135496	4419.999986891012	3932.999997429485	5283.333336288761	5032.999991289285	4412.00001348228
C1_14250C_A	2088.000004964376	1014.9999999489664	1656.0000028704033	1161.0000025224156	1422.0000003751259	1142.0000036706535	1923.9999949722146	2131.000003275161	1680.000002717771	1485.9999994452373	1392.0000040054	1293.0000001700575	1586.3333350493813	1241.6666670834572	1911.6666664254626	1390.3333370261873
C1_14260C_A	5068.000003018223	6246.999980230913	5888.00001609232	6192.9999969199025	5221.999991628401	3709.999996121637	4382.000003067072	4586.999993380475	4812.000009418983	3320.0000086658424	2535.9999997549485	2651.999999793039	5734.333314773456	5041.666662418871	4593.666673281745	2836.000005426463
