gene_name	Control_Rep.A	Control_Rep.B	Control_Rep.C	Control_Mean	Treat1_Rep.A	Treat1_Rep.B	Treat1_Rep.C	Treat1_Mean	Treat2_Rep.A	Treat2_Rep.B	Treat2_Rep.C	Treat2_Mean	Treat3_Rep.A	Treat3_Rep.B	Treat3_Rep.C	Treat3_Mean	fc_treat1	fc_treat2	fc_treat3
C1_00140W_A	11.04302728	11.197831	11.1792871	11.14168142	10.89784546	11.06339508	10.29806257	10.78871833	11.6379833	11.84862294	11.169925	11.57915877	10.77725532	10.82097669	10.59152235	10.73329784	-0.3529630899999995	0.43747735	-0.40838357999999897
C1_00150C_A	9.899356923	9.915879379	9.865733271	9.893807119	10.5574637	10.68825031	9.932214752	10.42836017	10.62296694	10.77725532	10.09275714	10.52617317	10.48482289	10.41574177	10.25266543	10.38765836	0.5345530509999998	0.6323660510000001	0.4938512409999997
C1_00160C_A	13.42390377	13.75988818	13.91382439	13.71338651	12.94233122	11.22941969	11.169925	12.033423	11.24138736	11.34872815	11.50183718	11.36796071	9.802516365	9.845490051	10.25384748	9.982042869	-1.6799635099999985	-2.3454257999999992	-3.7313436409999987
C1_00170W_A	10.8273427	10.49485558	10.67065625	10.67065625	12.02479338	9.885696373	9.493855449	10.92530717	11.83526092	11.98121049	12.82694565	12.28414934	12.42992974	11.23361968	11.10459875	11.72109919	0.2546509199999995	1.6134930900000004	1.05044294
C1_00180W_A	15.69247929	15.92362925	15.93999235	15.85637689	15.42157178	14.58771893	14.15465991	14.81961364	12.02444712	12.17398937	13.62570884	12.80217975	12.69675024	12.18920683	12.86824382	12.61240779	-1.03676325	-3.0541971399999994	-3.2439690999999993
C1_00190C_A	3	2.584962501	2	2.584962501	1	4.459431619	3.169925001	3.459431619	5.832890014	6.044394119	3.906890596	5.523561956	2.321928095	3.169925001	2.807354922	2.807354922	0.8744691179999999	2.938599455	0.2223924209999998
C1_00200C_A	6.044394119	6.108524457	6.658211483	6.297680549	5.727920455	6.50779464	6.06608919	6.136136688	8.77807713	8.599912842	7.936637939	8.48112669	7.076815597	7.076815597	7.285402219	7.14974712	-0.16154386100000023	2.183446141	0.8520665709999998
C1_00210C_A	13.13538865	12.68013972	12.80876312	12.88772834	11.89935692	11.64745843	11.46760555	11.68240943	12.17804233	12.27612441	12.2647358	12.24029445	11.29059489	11.41362793	11.43410693	11.38082178	-1.205318910000001	-0.6474338900000003	-1.506906560000001
C1_00220W_A	13.4939805	13.26091953	13.29145852	13.35254926	13.58437535	12.90463462	12.71231204	13.11753488	13.11894107	13.21051915	13.45056691	13.26688412	12.86031105	12.64182597	12.90895548	12.80829387	-0.23501438000000077	-0.08566513999999953	-0.54425539
C1_00230C_A	9.714245518	9.659995892	9.681238412	9.685332826	9.77478706	9.948367232	9.548821908	9.766528909	10.27844946	10.38262403	9.939579214	10.21229372	10.54303182	10.18735207	10.20945337	10.3226793	0.08119608299999995	0.526960894	0.637346474000001
C1_00270W_A	6.022367813	4.392317423	5.129283017	5.333900736	7.348728154	6.686500527	6.539158811	6.902877534	4.321928095	4.523561956	5.087462841	4.68182404	4.64385619	5.857980995	5.554588852	5.437405312	1.5689767979999996	-0.652076696	0.10350457599999971
C1_00280C_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_00290W_A	10.28308835	9.194756854	9.865733271	9.848101264	10.46250227	10.82257083	10.24792751	10.53073145	8.607330314	8.658211483	9.262094845	8.874469118	9.495855027	10.48984796	10.43671154	10.20701432	0.6826301859999991	-0.9736321459999999	0.35891305600000056
C1_00310W_A	10.25384748	9.303780748	9.461479447	9.735838048	9.853309555	10.69870467	10.14210706	10.27496047	11.36413466	11.34762137	11.38424412	11.36541113	12.39204904	12.09209641	12.17804233	12.22631183	0.5391224220000003	1.629573082	2.4904737820000005
C1_00320W_A	10.11634396	9.733015322	9.853309555	9.909893084	10.13057056	9.980139578	9.769837844	9.967706596	10.80009099	10.82177398	11.05392588	10.89658469	10.50779464	10.27262978	10.43671154	10.40903729	0.05781351199999914	0.986691605999999	0.4991442060000004
