gene_name	Control_Mean	Treat1_Mean	Treat2_Mean	Treat3_Mean
C1_09030C_A	10509.666653126113	7800.666663226811	4573.999998694808	4215.333323244665
C1_09040C_A	348.6666667812737	527.6666668802559	570.6666667932479	214.6666667569171
C1_09050W_A	740.0000002480978	779.666666865936	920.9999999416922	763.999999981069
C1_09060C_A	314.999999915441	330.33333322678664	1072.6666666649642	1660.3333276349524
C1_09070W_A	1032.6666680492779	1196.333335742327	1817.9999947148306	1763.666664605341
C1_09080C_A	1544.999997010294	1616.9999961066535	322.3333333879193	1140.6666636872949
C1_09090C_A	690.0000001599669	861.666666976561	1161.9999972578657	631.9999999224165
C1_09100W_A	115.00000000443393	68.66666669227043	179.33333335378535	81.0000000064777
C1_09110W_A	126.6666667009264	78.9999999903021	214.6666667569171	89.66666667689267
C1_09120W_A	511.666666831092	248.33333322517146	474.333333397339	264.6666667727389
C1_09130W_A	953.3333333699442	1213.3333296623698	1496.6666678001893	1490.3333335177424
C1_09140C_A	336.3333332435321	508.9999999732936	532.0000001839387	790.999999740778
C1_09150W_A	1268.9999966213493	46.33333333325781	40.66666667112796	38.33333332740226
C1_09160W_A	404.6666667972292	857.333333567001	5277.000006609104	9172.999971997311
C1_09170W_A	441.66666678398917	3215.3333243277402	1823.999994734515	2949.333334327792
C1_09180W_A	137.33333328934862	109.33333326536048	511.666666831092	243.33333332553698
C1_09190C_A	32923.333360237244	9035.000026603695	6001.999985030155	10224.999980747187
C1_09200W_A	980.9999998509221	379.9999999128295	822.6666664224591	422.0000000856508
C1_09210C_A	2133.9999987805304	1002.6666666969124	1933.3333277302506	1410.0000026523421
C1_09220W_A	723.3333335285263	523.3333333123547	1528.6666678749841	1739.999999112219
C1_09230C_A	873.6666669045007	334.66666661340207	844.0000001713016	494.00000014221274
C1_09240C_A	188.9999999710384	192.0000000371097	207.3333332744907	95.33333332955134
C1_09250W_A	12935.333322897117	10375.000028700797	2980.666667035485	4799.000007596885
C1_09260C_A	1076.3333296830053	752.6666666396189	1253.9999975644494	1521.6666622890484
C1_09270W_A	303.66666664963947	327.66666675310347	800.0000001249188	633.6666666985558
C1_09280W_A	604.3333333236982	881.0000000486008	1606.666666225472	1372.666662945414
C1_09290C_A	761.9999997394384	195.0000000338436	2895.666663722611	1894.0000059491992
C1_09300C_A	27.666666673843324	49.66666667558289	278.33333320981086	84.99999999188698
C1_09310C_A	131.9999999672031	48.33333332349114	326.66666660294635	293.3333333732855
C1_09320C_A	668.666666717175	725.0000000490986	214.6666667569171	130.66666672154807
C1_09330W_A	267.33333338266726	310.3333333682584	472.33333326888146	172.00000003551628
C1_09340C_A	185.66666671571522	64.66666669060369	450.3333331446313	702.3333332865258
C1_09350W_A	1997.3333364655102	2335.333329964909	3570.0000026812513	2548.3333412342868
C1_09360C_A	2067.3333334888575	2587.9999964257113	3511.6666594044955	1746.3333382382582
C1_09370W_A	1060.6666669534739	727.3333335337569	1476.3333321420293	1157.6666709509109
C1_09380W_A	2073.3333271582824	2121.3333339069477	4042.6666738123618	3984.66667576885
C1_09390W_A	231.3333333562463	298.3333332443183	810.6666668226372	554.3333331158133
C1_09400C_A	27.333333335286145	24.333333330653893	116.33333329394287	30.333333323292823
C1_09410W_A	1	3.0000000005798393	5.333333332302507	1.333333333075627
C1_09420W_A	2	20.666666671455253	33.99999999410024	5.333333332302507
C1_09430W_A	615.3333333654847	807.666666817715	1327.999998760156	956.0000000127569
C1_09440W_A	522.0000001556255	390.0000000676872	871.0000002421779	632.666666535128
C1_09450C_A	2215.666669989279	3335.3333419530577	3751.000006080169	2153.666668186013
C1_09460W_A	3510.66667804308	5064.000002006577	2925.999991606534	2926.666659157634
C1_09470C_A	1544.6666686542098	1563.6666723299786	3198.333332531727	1397.0000044451388
C1_09480W_A	381.3333333182056	355.666666641208	799.3333335033913	272.66666662497505
C1_09490C_A	9420.666650686375	4545.333322562146	4807.666677367031	1888.333333350714
C1_09500W_A	5.6666666685159575	15.000000004070316	33.66666666595169	4.666666665578362
C1_09510W_A	1380.333336539749	1777.333327952386	1690.6666673484065	681.3333332311047
C1_09520C_A	1445.3333326994605	3764.3333342451333	3516.000011836036	6298.666672447116
C1_09530W_A	807.666666817715	1120.3333359838387	1429.6666667514928	1296.9999961776716
C1_09540W_A	249.33333330456142	1404.6666685203331	1229.999999806806	809.6666667145337
C1_09550W_A	5.333333332302507	22.33333333741059	31.6666666752316	21.666666677069795
C1_09560C_A	1.6666666664746577	6.33333333455185	8.999999997240714	2.666666666151254
C1_09570W_A	985.9999997417195	1068.3333327520702	2109.0000003015916	1112.666667714443
C1_09580C_A	30.333333323292823	19.66666667156481	40.00000000312297	8.666666664143996
C1_09590C_A	1	3.3333333329493153	12.6666666691037	1.6666666664746577
C1_09600C_A	405.0000000640086	350.0000000406771	327.33333319866574	342.999999958914
C1_09610W_A	1834.3333300170973	3750.333322595708	1295.6666652135243	2749.999993710862
C1_09620C_A	817.666666759363	514.3333333869598	1074.6666683003773	577.000000141788
C1_09630W_A	25004.999920359904	12756.666668128266	6014.666666674185	7519.000020517525
C1_09640W_A	13739.333311926435	7003.333329259315	3893.3333251126346	3390.666676140566
C1_09650W_A	2023.666670692977	771.000000045407	2226.6666718521183	1432.6666699371474
C1_09660W_A	5134.666677074022	5921.333352845615	13444.000025085843	11300.333341651192
C1_09670C_A	740.0000002480978	766.0000000398437	1196.333335742327	1983.666664270149
C1_09680W_A	9949.000009963109	6893.9999839093125	9308.333336321379	8307.333341032077
C1_09690W_A	1326.3333306005075	97.9999999921741	569.6666666844424	449.0000000805612
C1_09700W_A	6.0000000011596795	4	13.333333331797261	4
C1_09710C_A	1051.6666672871895	1475.666669349911	1422.666666564832	851.9999998666289
C1_09720W_A	11985.666697059527	7719.333324173948	3974.333324148533	4526.999996084432
C1_09730W_A	655.6666668678283	1019.6666667818383	1413.3333345780693	1125.000003037752
C1_09740C_A	108.33333331871606	123.33333326535691	235.99999994080906	129.66666673272383
C1_09750W_A	1165.666666685606	1118.6666668848125	2249.3333371275903	1452.3333361580678
C1_09760C_A	875.6666664163085	649.0000000003877	2074.999998386754	1325.666670264958
C1_09770W_A	158.9999999686611	64.99999999871798	452.3333334281154	270.3333332403706
C1_09780C_A	595.333333168244	589.3333334680239	1001.333332782854	978.3333331459949
C1_09790C_A	519.6666666750855	1305.6666646488447	1296.9999961776716	843.3333334148685
C1_09800C_A	910.666666938767	685.0000000722232	1717.9999986442863	1958.9999969209005
C1_09810W_A	976.6666669452728	1197.9999976842191	944.3333335578864	541.3333331592222
C1_09820C_A	1	1	1	1
C1_09830W_A	2098.999998120025	2906.6666687959864	3833.9999955668445	2425.3333384937955
C1_09840C_A	653.9999997742099	2205.6666613223647	2218.6666706344517	2515.6666698945696
C1_09850C_A	4044.333323500627	2807.333334407587	3193.6666743813335	2813.666670218001
C1_09860C_A	1484.3333377350632	2003.999995561642	2877.3333357927254	2564.999999120966
C1_09870W_A	131.9999999672031	715.0000001656539	239.6666667134902	786.6666669240107
C1_09880C_A	287.3333332600526	374.6666667965759	538.3333333855247	435.66666664423644
C1_09900W_A	15.000000004070316	15.000000004070316	43.33333332410321	16
C1_09910C_A	295.6666667527606	495.33333339601353	216.66666663743212	172.00000003551628
C1_09920W_A	520.3333332407308	616.333333468742	1115.3333338612024	1114.6666656161044
C1_09930W_A	76.33333331345032	82.00000002170736	161.66666673913133	54.33333331412919
C1_09940W_A	96.00000001855484	61.66666667542253	125.00000002927791	179.99999995886762
C1_09950C_A	583.3333333339258	417.99999997656556	828.999999715132	1108.3333298341943
C1_09960W_A	735.6666668918201	569.9999999794143	1022.3333329465192	784.6666664940967
C1_09970C_A	460.6666667729644	1375.6666644869915	1613.3333317221193	572.6666668979619
C1_09980C_A	968.6666667259642	889.666666407165	3155.3333420441404	2282.9999933145987
C1_09990W_A	1866.666665228948	1104.666669346378	1845.6666720279854	2440.6666707549475
C1_10000C_A	603.0000000417616	1106.6666701084675	990.9999998719	854.00000022465
C1_10010C_A	2366.999998794733	2656.333331288246	1301.6666645841137	2010.666663116236
C1_10020W_A	737.9999999691047	2006.9999981044004	1244.3333311064166	990.3333332549012
C1_10030W_A	1667.3333316462167	1208.0000005651261	1329.999999641799	380.66666676121054
C1_10040W_A	7395.333329625823	11280.999999110438	17304.66665197897	13434.666703793619
C1_10050W_A	2	19.33333332788701	152.3333332977588	13.666666667643073
C1_10060C_A	4.666666665578362	12.333333334121587	37.66666667465507	33.33333333209563
C1_10070C_A	1393.6666692527103	1482.3333347406128	1618.3333337984106	1054.333333482245
C1_10080W_A	432.3333331743453	347.3333331991491	465.33333317577177	247.66666669800662
C1_10090C_A	2166.000003590753	1699.6666644195193	1939.3333328236631	3260.3333414516464
C1_10100C_A	5595.333314908378	5211.000002053239	7432.000018634652	5755.333323629901
C1_10110W_A	195.66666674954814	347.66666671519874	528.3333332214138	200.0000000312298
C1_10120C_A	1464.3333299111594	1647.000000312396	2487.9999997747695	2921.333336838324
C1_10130W_A	25.999999997457266	46.33333333325781	110.99999997306304	22.000000005530943
C1_10140C_A	374.333333416507	930.0000000029697	1677.9999994884408	3097.666662820236
C1_10150W_A	45.999999998182155	160.99999998720912	237.99999994919884	311.3333333358138
C1_10160W_A	26245.666603228776	13425.333348023762	8188.000016893602	6854.333342929799
C1_10170W_A	12.333333334121587	3.6666666668797974	8	41.33333334291051
C1_10180C_A	2929.0000043053706	639.3333332017284	595.6666665344057	666.3333333224929
C1_10190W_A	1316.6666691940766	1585.0000054637812	2114.6666740207206	1712.6666617048656
C1_10200C_A	964.9999998960261	4061.6666669776314	3106.3333227610397	1537.333336604064
C1_10210C_A	469.0000001575442	1549.6666668838504	1858.000004658663	2170.999999074316
C1_10220C_A	1361.3333331855215	2725.666658544193	1303.0000012932196	1511.6666722255688
C1_10230C_A	1458.6666645723349	1091.0000027801743	1866.3333281693187	1896.3333267958385
C1_10240C_A	80.33333330500163	50.6666666764148	339.3333332499429	193.99999997483687
C1_10250C_A	126.6666667009264	221.66666671777045	887.9999997845043	201.66666674483417
C1_10260C_A	1057.3333296814847	1179.6666701793708	1041.9999983543257	690.666666683232
C1_10270C_A	1713.000004649707	924.9999997411791	1597.6666623501642	2771.000008678893
C1_10280C_A	2569.333341214706	6052.333328758568	13701.333293638925	10104.333348386152
C1_10290W_A	262.3333333721861	256	184.33333326771685	1595.6666666682036
C1_10300W_A	503.33333316193205	455.6666667030192	780.333333121925	558.3333331354404
C1_10310W_A	172.33333326240503	214.6666667569171	809.3333330334713	471.33333330450444
C1_10320W_A	390.0000000676872	365.3333332727176	483.6666665508074	408.00000000806125
C1_10330C_A	564.6666668189038	619.6666665814822	1103.3333325888864	664.6666668154579
C1_10340W_A	339.9999999675477	353.9999999796346	920.000000035472	546.0000000303324
C1_10350C_A	1866.99999711906	2114.333339031789	1805.3333297621473	1884.6666704419981
C1_10360C_A	3706.3333274422384	6239.666646562562	6397.666660892103	4357.666671224579
C1_10370W_A	4.666666665578362	25.999999997457266	104.66666672684853	22.66666667406383
C1_10380C_A	3285.3333333931223	2907.6666593705304	3330.666664619359	2447.999995431043
C1_10390C_A	28777.000027495695	13947.666662588212	5007.66667461893	3541.33333179728
C1_10400C_A	2284.6666733209668	2530.333341297503	179.66666666276262	264.99999991723905
C1_10410W_A	546.0000000303324	611.6666666626736	350.9999999259018	247.33333335053766
C1_10420C_A	719.3333334495775	523.6666668216435	1031.3333328129968	835.3333335645294
C1_10430W_A	20.000000001561485	85.66666669797621	188.9999999710384	22.000000005530943
C1_10440W_A	669.6666666610339	1867.6666711859582	1401.3333301852301	652.6666667198056
C1_10450W_A	12955.999974898063	21286.333332884344	14363.333360447354	13953.666717205202
C1_10460W_A	1181.3333351070485	614.6666667909974	1379.9999984068475	1633.6666658869162
C1_10470W_A	2642.333332718523	2791.3333294266786	2551.333324584213	1741.6666652971217
C1_10480W_A	1191.0000017632553	1223.0000012483617	2735.333336800378	1963.666670829665
C1_10490W_A	3992.666677024802	1901.999998865463	3211.666665638343	2720.6666581107943
C1_10500W_A	688.0000001420651	315.666666721974	853.3333332350253	216.99999993314464
C1_10510W_A	164.33333325852422	105.66666670927548	319.0000000519907	173.6666667199511
C1_10520W_A	102.3333332872968	43.33333332410321	173.6666667199511	73.00000000607109
C1_10530W_A	1395.333337652185	1857.333330912886	2237.999998485357	3542.333331742214
C1_10540C_A	603.0000000417616	449.66666659587935	877.6666664690089	807.3333333483458
