orf19.xxx	wt_no_dox_no_HS_Rep.A	wt_no_dox_no_HS_Rep.B	wt_no_dox_no_HS_Rep.C	wt_no_dox_no_HS_Mean	wt_dox_no_HS_Rep.A	wt_dox_no_HS_Rep.B	wt_dox_no_HS_Rep.C	wt_dox_no_HS_Mean	wt_dox_10_HS_Rep.A	wt_dox_10_HS_Rep.B	wt_dox_10_HS_Rep.C	wt_dox_10_HS_Mean	wt_dox_30_HS_Rep.A	wt_dox_30_HS_Rep.B	wt_dox_30_HS_Rep.C	wt_dox_30_HS_Mean	wt_dox_60_HS_Rep.A	wt_dox_60_HS_Rep.B	wt_dox_60_HS_Rep.C	wt_dox_60_HS_Mean	tet90_no_dox_no_HS_Rep.A	tet90_no_dox_no_HS_Rep.B	tet90_no_dox_no_HS_Rep.C	tet90_no_dox_no_HS_Mean	tet90_dox_no_HS_Rep.A	tet90_dox_no_HS_Rep.B	tet90_dox_no_HS_Rep.C	tet90_dox_no_HS_Mean	tet90_dox_10_HS_Rep.A	tet90_dox_10_HS_Rep.B	tet90_dox_10_HS_Rep.C	tet90_dox_10_HS_Mean	tet90_dox_30_HS_Rep.A	tet90_dox_30_HS_Rep.B	tet90_dox_30_HS_Rep.C	tet90_dox_30_HS_Mean	tet90_dox_60_HS_Rep.A	tet90_dox_60_HS_Rep.B	tet90_dox_60_HS_Rep.C	tet90_dox_60_HS_Mean
orf19.2229	9.025139562	8.596189756	8.77148947	8.808427957	8.396604781	8.707359132	8.588714636	8.569855608	9.271463028	9.667111542	9.46760555	9.477758266	10.4807902	10.53235593	10.2632692	10.43010403	9.906890596	9.652844973	9.594324604	9.724513853	9.390168956	9.044394119	8.826548487	9.105908509	9.144658243	9.459431619	9.022367813	9.220781372	9.77478706	10.34318572	9.995767151	10.05708919	8.930737338	8.84862294	8.463524373	8.761551232	10.67860014	10.31628153	10.05528244	10.37286506
orf19.223	11.1221809	9.978710459	10.50878516	10.61194694	12.01680829	11.41309898	11.57412044	11.6911619	11.05120894	11.13057056	10.89026428	11.02744529	11.07547915	11.12412131	11.08945048	11.09649555	11.88111396	11.69653291	11.82456103	11.8027856	11.29174628	10.52649924	10.8494051	10.92357509	11.23481743	11.03891899	11.17430154	11.15165083	10.12541347	11.11178774	10.70217269	10.70159526	11.65463603	11.57412044	11.59712143	11.60902479	11.58730873	11.44501485	11.33817925	11.4604559
orf19.2230	8.271463028	8.139551352	8.262094845	8.225609134	8.033423002	8	7.942514505	7.992466328	8.174925683	7.813781191	8.124121312	8.046214555	9.100662339	9.087462841	9.262094845	9.152284842	9.057991723	8.921840937	8.588714636	8.869336793	8.8008999	8.614709844	8.483815777	8.639039174	8.661778098	8.703903573	8.303780748	8.567322341	9.491853096	9.189824559	9.756556323	9.497851837	8.082149041	8.103287808	8.366322214	8.189824559	9.721099189	9.348728154	9.350939182	9.484487267
orf19.2231	8.64385619	8.87036472	9.245552706	8.941536739	7.033423002	7.942514505	7.417852515	7.513069583	9.055282436	8.596189756	8.632995197	8.776981273	10.70476824	10.72621816	10.70043972	10.71051947	10.71080643	10.51668495	10.1711768	10.48314397	9.038918989	9.562242424	8.417852515	9.080373416	8.388017285	9.419960178	8.30833903	8.799821249	10.71166697	11.16050175	10.73216743	10.88340699	8.761551232	8.199672345	8.405141463	8.47438196	10.9822806	10.83051521	10.26209485	10.72337653
orf19.2232	15.43100783	15.2531827	15.7926378	15.51003266	14.86098995	15.20327152	15.18549492	15.09160067	14.8080089	13.36084708	13.34817487	14.01404954	10.36084708	10.47876962	13.57553925	12.28289536	11.82615121	11.06474276	12.12638183	11.73752904	15.30865899	15.50760884	16.02935194	15.64811412	14.48350091	15.13963129	14.62445279	14.77764916	15.13602985	10.44811631	13.08248173	13.90685929	13.82704492	14.40281223	14.85598775	14.42191141	9.773139207	8.813781191	10.27262978	9.73809226
orf19.2233	12.66711154	12.24436384	12.66021879	12.53697567	12.64160022	12.48179943	12.65374078	12.59448013	12.76445696	12.82833486	12.73935871	12.77787172	13.4603279	13.4763665	13.58707428	13.50903269	13.45955969	13.19936562	13.15054064	13.2763183	12.93921188	12.71424552	12.63730412	12.76935576	12.87305955	12.86495992	12.6708775	12.80594535	13.72600523	13.70854507	13.48419353	13.6437059	12.68890593	12.82237166	12.51963625	12.68226311	14.05824546	13.52098692	13.42350989	13.69555456
orf19.2236	10.6411486	10.55458885	10.58777752	10.59494659	9.238404739	10.09011242	9.808964175	9.7543308	10.90162116	10.36741475	10.00140819	10.47133651	10.85486838	10.84235034	10.4419067	10.72536626	10.86341196	10.56414949	10.30947635	10.59681094	10.82654849	11.08148344	9.997179481	10.70419185	9.724513853	10.62021983	9.283088353	9.986316117	9.192292814	10.65194861	9.873444113	10.027906	10.07815081	9.736401931	9.167418146	9.707934255	11.4325419	10.95201316	10.58683979	11.03227536
orf19.2237	3.584962501	2.321928095	3.807354922	3.36923381	4.321928095	2.321928095	3.459431619	3.584962501	3.169925001	3	3	3.058893689	4.523561956	4	5.209453366	4.662965013	1.584962501	3	0	2	3.906890596	3.807354922	2.807354922	3.584962501	1	2.807354922	2.321928095	2.222392421	4.523561956	3.459431619	4	4.058893689	3.321928095	1.584962501	2.584962501	2.662965013	1	2	2	1.736965594
orf19.2237.1	8.77148947	8.588714636	9.103287808	8.837102265	6.357552005	7.515699838	7.434628228	7.189824559	8.519636253	7.118941073	7.523561956	7.845490051	8.791162889	8.741466986	8.816983623	8.783543961	8.098032083	8.357552005	8.271463028	8.246344743	8.810571635	9.262094845	8.50779464	8.893807119	7.108524457	8.06608919	7.475733431	7.604862058	8.392317423	7.768184325	8.103287808	8.110265791	6.599912842	6.599912842	6.754887502	6.653442239	9.424166289	9.011227255	8.927777962	9.13784503
orf19.2238	10.4604559	10.09539702	10.23242093	10.27068466	8.768184325	10.11113567	9.851749041	9.682994584	10.63571812	11.1792871	11.06810648	10.9794252	11.13057056	11.1401907	10.54785851	10.96482217	10.94690627	11.08148344	10.85642553	10.96458154	10.52454172	10.26209485	9.605479518	10.17990909	8.707359132	9.375039431	8.290018847	8.861086906	9.328674927	10.72621816	10.49785184	10.30035256	10.10852446	10.28193003	10.33315535	10.24436384	11.24019505	10.77396337	10.92851838	10.99411768
